source_video,colony,colony_treatment,newcomer_MC_n,newcomer_MD_n,newcomer_ratio,treatment_group,pair,tag_1,class_1,possible_original_tags_1,tag_2,class_2,possible_original_tags_2,interaction_type,cooccurrence_frames,interaction_frames
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-19,16,H,91,19,H,61,HH,1228,5
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-21,16,H,91,21,MD,21,HMD,269,0
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-22,16,H,91,22,MD,22,HMD,2726,42
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-23,16,H,91,23,MD,23,HMD,679,3
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-24,16,H,91,24,MC,24,HMC,6,0
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-25,16,H,91,25,MC,25,HMC,1135,48
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-26,16,H,91,26,MC,26,HMC,7237,90
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-29,16,H,91,29,MC,29,HMC,2055,90
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-30,16,H,91,30,MC,30,HMC,1471,33
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-31,16,H,91,31,MC,31,HMC,1346,36
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-32,16,H,91,32,MC,32,HMC,1202,34
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-48,16,H,91,48,H,48,HH,1891,38
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-54,16,H,91,54,H,54,HH,217,15
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-55,16,H,91,55,H,55,HH,623,9
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-59,16,H,91,59,H,59,HH,1076,15
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-60,16,H,91,60,H,60,HH,607,224
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-62,16,H,91,62,H,62,HH,1807,27
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-63,16,H,91,63,H,63,HH,2454,11
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-65,16,H,91,65,H,65,HH,2587,30
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-68,16,H,91,68,H,89,HH,3382,510
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-70,16,H,91,70,H,70,HH,4130,113
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-71,16,H,91,71,H,71,HH,4242,97
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-73,16,H,91,73,H,73,HH,2542,11
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-74,16,H,91,74,H,74,HH,1309,67
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-75,16,H,91,75,H,75,HH,2646,2
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-79,16,H,91,79,H,79,HH,1475,38
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-83,16,H,91,83,H,83,HH,1494,29
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-84,16,H,91,84,H,84,HH,2729,169
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-85,16,H,91,85,H,85,HH,602,0
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,16-93,16,H,91,93,Q,93,HQ,1079,23
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,19-21,19,H,61,21,MD,21,HMD,102,0
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,19-22,19,H,61,22,MD,22,HMD,674,2
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,19-23,19,H,61,23,MD,23,HMD,792,10
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,19-24,19,H,61,24,MC,24,HMC,36,0
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,19-25,19,H,61,25,MC,25,HMC,662,20
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,19-26,19,H,61,26,MC,26,HMC,3778,36
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,19-29,19,H,61,29,MC,29,HMC,549,3
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,19-30,19,H,61,30,MC,30,HMC,428,2
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,19-31,19,H,61,31,MC,31,HMC,359,1
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,19-32,19,H,61,32,MC,32,HMC,782,24
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,19-48,19,H,61,48,H,48,HH,949,2
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,19-54,19,H,61,54,H,54,HH,598,0
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,19-55,19,H,61,55,H,55,HH,611,1
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,19-59,19,H,61,59,H,59,HH,964,29
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,19-60,19,H,61,60,H,60,HH,42,3
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,19-62,19,H,61,62,H,62,HH,563,2
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,19-63,19,H,61,63,H,63,HH,1529,79
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,19-65,19,H,61,65,H,65,HH,386,1
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,19-68,19,H,61,68,H,89,HH,1420,1
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,19-70,19,H,61,70,H,70,HH,2585,46
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,19-71,19,H,61,71,H,71,HH,2392,71
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,19-73,19,H,61,73,H,73,HH,1223,2
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,19-74,19,H,61,74,H,74,HH,1254,17
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,19-75,19,H,61,75,H,75,HH,1743,96
XZ_batch2_colony7_260603_1_crop_final_with_model_head_tail_1interval,colony7,Antibiotic,7,3,MC7_MD3,Antibiotic_MC7_MD3,19-79,19,H,61,79,H,79,HH,1240,30
